study_name,dataset_name,variable_name,question_name,instrument_name
soep-core,bepequiv,fprvp14,14,soep-core-1989-pe
soep-core,bepequiv,iholy14,14,soep-core-1992-hh
soep-core,bepequiv,iprv114,11,soep-core-1992-pe
soep-core,bepequiv,iprv214,21,soep-core-1992-pe
soep-core,bepequiv,iprvp14,14,soep-core-1992-pe
soep-core,bepequiv,opery14,14,soep-core-1998-pe
soep-core,bfhgen,fheat15,15,soep-core-1989-hh
soep-core,bfhgen,fhinc15,15,soep-core-1989-hh
soep-core,bfpequiv,chspt15,15,soep-core-1986-hh
soep-core,bfpequiv,fholy15,15,soep-core-1989-hh
soep-core,bfpequiv,fhsup15,15,soep-core-1989-hh
soep-core,bfpequiv,fprvp15,15,soep-core-1989-pe
soep-core,bfpequiv,iholy15,15,soep-core-1992-hh
soep-core,bfpequiv,iprv115,11,soep-core-1992-pe
soep-core,bfpequiv,iprv215,21,soep-core-1992-pe
soep-core,bfpequiv,iprvp15,15,soep-core-1992-pe
soep-core,bfpequiv,opery15,15,soep-core-1998-pe
soep-core,bghgen,fheat16,16,soep-core-1989-hh
soep-core,bghgen,fhinc16,16,soep-core-1989-hh
soep-core,bgpequiv,chspt16,16,soep-core-1986-hh
soep-core,bgpequiv,fholy16,16,soep-core-1989-hh
soep-core,bgpequiv,fhsup16,16,soep-core-1989-hh
soep-core,bgpequiv,fprvp16,16,soep-core-1989-pe
soep-core,bgpequiv,iholy16,16,soep-core-1992-hh
soep-core,bgpequiv,iprv116,11,soep-core-1992-pe
soep-core,bgpequiv,iprv216,21,soep-core-1992-pe
soep-core,bgpequiv,iprvp16,16,soep-core-1992-pe
soep-core,bgpequiv,opery16,16,soep-core-1998-pe
soep-core,bhgen,fheat85,85,soep-core-1989-hh
soep-core,bhgen,fhinc85,85,soep-core-1989-hh
soep-core,bpequiv,chspt85,85,soep-core-1986-hh
soep-core,bpequiv,fholy85,85,soep-core-1989-hh
soep-core,bpequiv,fhsup85,85,soep-core-1989-hh
soep-core,bpequiv,fprvp85,85,soep-core-1989-pe
soep-core,bpequiv,iholy85,85,soep-core-1992-hh
soep-core,bpequiv,iprv185,18,soep-core-1992-pe
soep-core,bpequiv,iprv285,28,soep-core-1992-pe
soep-core,bpequiv,iprvp85,85,soep-core-1992-pe
soep-core,bpequiv,opery85,85,soep-core-1998-pe
soep-core,chgen,fheat86,86,soep-core-1989-hh
soep-core,chgen,fhinc86,86,soep-core-1989-hh
soep-core,cpequiv,chspt86,86,soep-core-1986-hh
soep-core,cpequiv,fholy86,86,soep-core-1989-hh
soep-core,cpequiv,fhsup86,86,soep-core-1989-hh
soep-core,cpequiv,fprvp86,86,soep-core-1989-pe
soep-core,cpequiv,iholy86,86,soep-core-1992-hh
soep-core,cpequiv,iprv186,18,soep-core-1992-pe
soep-core,cpequiv,iprv286,28,soep-core-1992-pe
soep-core,cpequiv,iprvp86,86,soep-core-1992-pe
soep-core,cpequiv,opery86,86,soep-core-1998-pe
soep-core,dhgen,fheat87,87,soep-core-1989-hh
soep-core,dhgen,fhinc87,87,soep-core-1989-hh
soep-core,dpequiv,chspt87,87,soep-core-1986-hh
soep-core,dpequiv,fholy87,87,soep-core-1989-hh
soep-core,dpequiv,fhsup87,87,soep-core-1989-hh
soep-core,dpequiv,fprvp87,87,soep-core-1989-pe
soep-core,dpequiv,iholy87,87,soep-core-1992-hh
soep-core,dpequiv,iprv187,18,soep-core-1992-pe
