study,instrument,question,item,dataset,variable,concept
soep-core,soep-core-2017-pb-m345-erst,Q433,pgesb6,PB17_M5,pgesb6,pgesb6
soep-core,soep-core-2017-pb-m345-erst,Q434,pges15,PB17_M5,pges15,pges15
soep-core,soep-core-2017-pb-m345-erst,Q435,pgesb7,PB17_M5,pgesb7,pgesb7
soep-core,soep-core-2017-pb-m345-erst,Q436,pgesb8,PB17_M5,pgesb8,pgesb8
soep-core,soep-core-2017-pb-m345-erst,Q438,pgef11,PB17_M5,pgef11,pgef11
soep-core,soep-core-2017-pb-m345-erst,Q439,pgef12,PB17_M5,pgef12,pgef12
soep-core,soep-core-2017-pb-m345-erst,Q440,pgef13,PB17_M5,pgef13,pgef13
soep-core,soep-core-2017-pb-m345-erst,Q441,pgef14,PB17_M5,pgef14,pgef14
soep-core,soep-core-2017-pb-m345-erst,Q442,pna15,PB17_M5,pna15,pna15
soep-core,soep-core-2017-pb-m345-erst,Q443,pgef15,PB17_M5,pgef15,pgef15
soep-core,soep-core-2017-pb-m345-erst,Q444,pgef16,PB17_M5,pgef16,pgef16
soep-core,soep-core-2017-pb-m345-erst,Q446,pmas01,PB17_M5,pmas01,pmas01
soep-core,soep-core-2017-pb-m345-erst,Q447,pmas02,PB17_M5,pmas02,pmas02
soep-core,soep-core-2017-pb-m345-erst,Q448,pmas03,PB17_M5,pmas03,pmas03
soep-core,soep-core-2017-pb-m345-erst,Q449,pmas04,PB17_M5,pmas04,pmas04
soep-core,soep-core-2017-pb-m345-erst,Q450,pmas05,PB17_M5,pmas05,pmas05
soep-core,soep-core-2017-pb-m345-erst,Q451,pmas06,PB17_M5,pmas06,pmas06
soep-core,soep-core-2017-pb-m345-erst,Q452,pmas11,PB17_M5,pmas11,pmas11
soep-core,soep-core-2017-pb-m345-erst,Q453,pmas16,PB17_M5,pmas16,pmas16
soep-core,soep-core-2017-pb-m345-erst,Q454,pmas17,PB17_M5,pmas17,pmas17
soep-core,soep-core-2017-pb-m345-erst,Q455,pmas18,PB17_M5,pmas18,pmas18
soep-core,soep-core-2017-pb-m345-erst,Q456,pmas19,PB17_M5,pmas19,pmas19
soep-core,soep-core-2017-pb-m345-erst,Q457,prisk,PB17_M5,prisk,prisk
soep-core,soep-core-2017-pb-m345-erst,Q458,prel,PB17_M5,prel,prel
soep-core,soep-core-2017-pb-m345-erst,Q459,prelch,PB17_M5,prelch,prelch
soep-core,soep-core-2017-pb-m345-erst,Q460,prelis,PB17_M5,prelis,prelis
soep-core,soep-core-2017-pb-m345-erst,Q461,prelso,PB17_M5,prelso,prelso
soep-core,soep-core-2017-pb-m345-erst,Q462,prelwz,PB17_M5,prelwz,pglaub
soep-core,soep-core-2017-pb-m345-erst,Q463,prelhb,PB17_M5,prelhb,pbetanz
soep-core,soep-core-2017-pb-m345-erst,Q464,prelhrv,PB17_M5,prelhrv,pveran
soep-core,soep-core-2017-pb-m345-erst,Q465,psor02,PB17_M5,psor02,psor02
soep-core,soep-core-2017-pb-m345-erst,Q466,psor03,PB17_M5,psor03,psor03
soep-core,soep-core-2017-pb-m345-erst,Q467,psor09,PB17_M5,psor09,psor09
soep-core,soep-core-2017-pb-m345-erst,Q468,psor23,PB17_M5,psor23,psor23
soep-core,soep-core-2017-pb-m345-erst,Q469,psor24,PB17_M5,psor24,psor24
soep-core,soep-core-2017-pb-m345-erst,Q470,psor25,PB17_M5,psor25,psor25
soep-core,soep-core-2017-pb-m345-erst,Q471,psor26,PB17_M5,psor26,psor26
soep-core,soep-core-2017-pb-m345-erst,Q473,pwerw2j,PB17_M5,pwerw2j,pwerw2j
soep-core,soep-core-2017-pb-m345-erst,Q474,pwerw5j,PB17_M5,pwerw5j,pwerw5j
soep-core,soep-core-2017-pb-m345-erst,Q475,ppol1,PB17_M5,ppol1,ppol1
soep-core,soep-core-2017-pb-m345-erst,Q477,paksit1,PB17_M5,paksit1,paksit1
soep-core,soep-core-2017-pb-m345-erst,Q478,paksit1a,PB17_M5,paksit1a,paksit1a
soep-core,soep-core-2017-pb-m345-erst,Q479,paksit2,PB17_M5,paksit2,paksit2
soep-core,soep-core-2017-pb-m345-erst,Q480,paksit2a,PB17_M5,paksit2a,paksit2a
soep-core,soep-core-2017-pb-m345-erst,Q481,paksit3,PB17_M5,paksit3,paksit3
soep-core,soep-core-2017-pb-m345-erst,Q482,paksit3a,PB17_M5,paksit3a,paksit3a
soep-core,soep-core-2017-pb-m345-erst,Q483,paksit4,PB17_M5,paksit4,paksit4
soep-core,soep-core-2017-pb-m345-erst,Q484,paksit4a,PB17_M5,paksit4a,paksit4a
soep-core,soep-core-2017-pb-m345-erst,Q485,paksit5,PB17_M5,paksit5,paksit5
soep-core,soep-core-2017-pb-m345-erst,Q486,paksit5a,PB17_M5,paksit5a,paksit5a
soep-core,soep-core-2017-pb-m345-erst,Q487,paksit6,PB17_M5,paksit6,paksit6
soep-core,soep-core-2017-pb-m345-erst,Q488,paksit6a,PB17_M5,paksit6a,paksit6a
soep-core,soep-core-2017-pb-m345-erst,Q490,pregzu1,PB17_M5,pregzu1,pregzu1
soep-core,soep-core-2017-pb-m345-erst,Q491,pregzu1a,PB17_M5,pregzu1a,pregzu1a
soep-core,soep-core-2017-pb-m345-erst,Q492,pregzu2,PB17_M5,pregzu2,pregzu2
soep-core,soep-core-2017-pb-m345-erst,Q493,pregzu2a,PB17_M5,pregzu2a,pregzu2a
soep-core,soep-core-2017-pb-m345-erst,Q494,pregzu3,PB17_M5,pregzu3,pregzu3
soep-core,soep-core-2017-pb-m345-erst,Q495,pregzu3a,PB17_M5,pregzu3a,pregzu3a
soep-core,soep-core-2017-pb-m345-erst,Q497,pzudem1,PB17_M5,pzudem1,pzudem1
soep-core,soep-core-2017-pb-m345-erst,Q498,pzudem2,PB17_M5,pzudem2,pzudem2
soep-core,soep-core-2017-pb-m345-erst,Q499,pzudem3,PB17_M5,pzudem3,pzudem3
soep-core,soep-core-2017-pb-m345-erst,Q500,pzudem4,PB17_M5,pzudem4,pzudem4
soep-core,soep-core-2017-pb-m345-erst,Q501,pzudem5,PB17_M5,pzudem5,pzudem5
soep-core,soep-core-2017-pb-m345-erst,Q502,pzudem6,PB17_M5,pzudem6,pzudem6
soep-core,soep-core-2017-pb-m345-erst,Q504,pmasst1,PB17_M5,pmasst1,pmasst1
soep-core,soep-core-2017-pb-m345-erst,Q505,pmasst2,PB17_M5,pmasst2,pmasst2
soep-core,soep-core-2017-pb-m345-erst,Q506,pmasst3,PB17_M5,pmasst3,pmasst3
soep-core,soep-core-2017-pb-m345-erst,Q507,pmasst4,PB17_M5,pmasst4,pmasst4
soep-core,soep-core-2017-pb-m345-erst,Q508,pmasst5,PB17_M5,pmasst5,pmasst5
soep-core,soep-core-2017-pb-m345-erst,Q510,pmver1,PB17_M5,pmver1,pmver1
soep-core,soep-core-2017-pb-m345-erst,Q511,pmver2,PB17_M5,pmver2,pmver2
soep-core,soep-core-2017-pb-m345-erst,Q512,pmver3,PB17_M5,pmver3,pmver3
soep-core,soep-core-2017-pb-m345-erst,Q513,pmver4,PB17_M5,pmver4,pmver4
soep-core,soep-core-2017-pb-m345-erst,Q514,pmver5,PB17_M5,pmver5,pmver5
soep-core,soep-core-2017-pb-m345-erst,Q515,pmver6,PB17_M5,pmver6,pmver6
soep-core,soep-core-2017-pb-m345-erst,Q516,pfamsta,PB17_M5,pfamsta,pfamsta
soep-core,soep-core-2017-pb-m345-erst,Q517,pehewo,PB17_M5,pehewo,pehewo
soep-core,soep-core-2017-pb-m345-erst,Q518,ppnamep,PB17_M5,ppnamepnr,ppnam
soep-core,soep-core-2017-pb-m345-erst,Q518,ppnamep,PB17_M5,ppnamep,ppnam
soep-core,soep-core-2017-pb-m345-erst,Q519,peheplan,PB17_M5,peheplan,peheplan
soep-core,soep-core-2017-pb-m345-erst,Q520,plebp,PB17_M5,plebp,plebp
soep-core,soep-core-2017-pb-m345-erst,Q521,plebwo,PB17_M5,plebwo,plebwo
soep-core,soep-core-2017-pb-m345-erst,Q522,ppnamlp,PB17_M5,ppnamlp,ppnam
soep-core,soep-core-2017-pb-m345-erst,Q522,ppnamlp,PB17_M5,ppnamlpnr,ppnam
soep-core,soep-core-2017-pb-m345-erst,Q523,pleberst,PB17_M5,pleberst,pleberst
soep-core,soep-core-2017-pb-m345-erst,Q524,plebplan,PB17_M5,plebplan,plebplan
soep-core,soep-core-2017-pb-m345-erst,Q525,lbsja,PB17_M5,lbsja,lbsja
soep-core,soep-core-2017-pb-m345-erst,Q526,lbsanz,PB17_M5,lbsanz,lbsanz
soep-core,soep-core-2017-pb-m345-erst,Q527,lbswo1,PB17_M5,lbswo1,lbswo1
soep-core,soep-core-2017-pb-m345-erst,Q527,lbswo2,PB17_M5,lbswo2,lbswo2
soep-core,soep-core-2017-pb-m345-erst,Q527,lbswo3,PB17_M5,lbswo3,lbswo3
soep-core,soep-core-2017-pb-m345-erst,Q527,lbswo4,PB17_M5,lbswo4,lbswo4
soep-core,soep-core-2017-pb-m345-erst,Q527,lbswo5,PB17_M5,lbswo5,lbswo5
soep-core,soep-core-2017-pb-m345-erst,Q528,lbsplan,PB17_M5,lbsplan,lbsplan
soep-core,soep-core-2017-pb-m345-erst,Q529,lbsplanz,PB17_M5,lbsplanz,lbsplanz
soep-core,soep-core-2017-pb-m345-erst,Q530,lkja,PB17_M5,lkja,lkja
soep-core,soep-core-2017-pb-m345-erst,Q531,lkind,PB17_M5,lkind,lkind
soep-core,soep-core-2017-pb-m345-erst,Q533,lkgeb1,PB17_M5,lkgeb3,lkgeb1
soep-core,soep-core-2017-pb-m345-erst,Q533,lkgeb1,PB17_M5,lkgeb7,lkgeb1
soep-core,soep-core-2017-pb-m345-erst,Q533,lkgeb1,PB17_M5,lkgeb5,lkgeb1
soep-core,soep-core-2017-pb-m345-erst,Q533,lkgeb1,PB17_M5,lkgeb6,lkgeb1
soep-core,soep-core-2017-pb-m345-erst,Q533,lkgeb1,PB17_M5,lkgeb1,lkgeb1
soep-core,soep-core-2017-pb-m345-erst,Q533,lkgeb1,PB17_M5,lkgeb8,lkgeb1
soep-core,soep-core-2017-pb-m345-erst,Q533,lkgeb1,PB17_M5,lkgeb2,lkgeb1
soep-core,soep-core-2017-pb-m345-erst,Q533,lkgeb1,PB17_M5,lkgeb4,lkgeb1
soep-core,soep-core-2017-pb-m345-erst,Q534,lksex1,PB17_M5,lksex8,lksex1
soep-core,soep-core-2017-pb-m345-erst,Q534,lksex1,PB17_M5,lksex6,lksex1
soep-core,soep-core-2017-pb-m345-erst,Q534,lksex1,PB17_M5,lksex3,lksex1
soep-core,soep-core-2017-pb-m345-erst,Q534,lksex1,PB17_M5,lksex1,lksex1
soep-core,soep-core-2017-pb-m345-erst,Q534,lksex1,PB17_M5,lksex7,lksex1
soep-core,soep-core-2017-pb-m345-erst,Q534,lksex1,PB17_M5,lksex2,lksex1
soep-core,soep-core-2017-pb-m345-erst,Q534,lksex1,PB17_M5,lksex4,lksex1
soep-core,soep-core-2017-pb-m345-erst,Q534,lksex1,PB17_M5,lksex5,lksex1
soep-core,soep-core-2017-pb-m345-erst,Q535,lkleb1,PB17_M5,lkleb1,lkleb1
soep-core,soep-core-2017-pb-m345-erst,Q535,lkleb1,PB17_M5,lkleb5,lkleb1
soep-core,soep-core-2017-pb-m345-erst,Q535,lkleb1,PB17_M5,lkleb6,lkleb1
soep-core,soep-core-2017-pb-m345-erst,Q535,lkleb1,PB17_M5,lkleb3,lkleb1
soep-core,soep-core-2017-pb-m345-erst,Q535,lkleb1,PB17_M5,lkleb4,lkleb1
soep-core,soep-core-2017-pb-m345-erst,Q535,lkleb1,PB17_M5,lkleb2,lkleb1
soep-core,soep-core-2017-pb-m345-erst,Q535,lkleb1,PB17_M5,lkleb7,lkleb1
soep-core,soep-core-2017-pb-m345-erst,Q535,lkleb1,PB17_M5,lkleb8,lkleb1
soep-core,soep-core-2017-pb-m345-erst,Q536,lkplan1,PB17_M5,lkplan8,lkplan1
soep-core,soep-core-2017-pb-m345-erst,Q536,lkplan1,PB17_M5,lkplan2,lkplan1
soep-core,soep-core-2017-pb-m345-erst,Q536,lkplan1,PB17_M5,lkplan5,lkplan1
soep-core,soep-core-2017-pb-m345-erst,Q536,lkplan1,PB17_M5,lkplan4,lkplan1
soep-core,soep-core-2017-pb-m345-erst,Q536,lkplan1,PB17_M5,lkplan3,lkplan1
soep-core,soep-core-2017-pb-m345-erst,Q536,lkplan1,PB17_M5,lkplan7,lkplan1
soep-core,soep-core-2017-pb-m345-erst,Q536,lkplan1,PB17_M5,lkplan6,lkplan1
soep-core,soep-core-2017-pb-m345-erst,Q536,lkplan1,PB17_M5,lkplan1,lkplan1
soep-core,soep-core-2017-pb-m345-erst,Q565,lmleb,PB17_M5,lmleb,lmleb
soep-core,soep-core-2017-pb-m345-erst,Q566,lmplan,PB17_M5,lmplan,lmplan
soep-core,soep-core-2017-pb-m345-erst,Q567,lvleb,PB17_M5,lvleb,lvleb
soep-core,soep-core-2017-pb-m345-erst,Q568,lvplan,PB17_M5,lvplan,lvplan
soep-core,soep-core-2017-pb-m345-erst,Q569,lavja,PB17_M5,lavja,lavja
soep-core,soep-core-2017-pb-m345-erst,Q570,lavanz,PB17_M5,lavanz,lavanz
soep-core,soep-core-2017-pb-m345-erst,Q571,lavleb1,PB17_M5,lavleb1,lavleb1
soep-core,soep-core-2017-pb-m345-erst,Q571,lavleb2,PB17_M5,lavleb2,lavleb2
soep-core,soep-core-2017-pb-m345-erst,Q571,lavleb3,PB17_M5,lavleb3,lavleb3
soep-core,soep-core-2017-pb-m345-erst,Q571,lavleb4,PB17_M5,lavleb4,lavleb4
soep-core,soep-core-2017-pb-m345-erst,Q571,lavleb5,PB17_M5,lavleb5,lavleb5
soep-core,soep-core-2017-pb-m345-erst,Q572,lavplan,PB17_M5,lavplan,lavplan
soep-core,soep-core-2017-pb-m345-erst,Q573,lavplanz,PB17_M5,lavplanz,lavplanz
soep-core,soep-core-2017-pb-m345-erst,Q574,punt11,PB17_M5,punt11,punt11
soep-core,soep-core-2017-pb-m345-erst,Q574,punt21,PB17_M5,punt21,punt21
soep-core,soep-core-2017-pb-m345-erst,Q574,punt31,PB17_M5,punt31,punt31
soep-core,soep-core-2017-pb-m345-erst,Q574,punt41,PB17_M5,punt41,punt41
soep-core,soep-core-2017-pb-m345-erst,Q574,punt51,PB17_M5,punt51,punt51
soep-core,soep-core-2017-pb-m345-erst,Q574,puntno,PB17_M5,puntno,puntno
soep-core,soep-core-2017-pb-m345-erst,Q575,punt12,PB17_M5,punt12,punt12
soep-core,soep-core-2017-pb-m345-erst,Q576,punt13,PB17_M5,punt13,punt13
soep-core,soep-core-2017-pb-m345-erst,Q576,punt14,PB17_M5,punt14,punt14
soep-core,soep-core-2017-pb-m345-erst,Q576,punt15,PB17_M5,punt15,punt15
soep-core,soep-core-2017-pb-m345-erst,Q577,punt22,PB17_M5,punt22,punt22
soep-core,soep-core-2017-pb-m345-erst,Q578,punt23,PB17_M5,punt23,punt23
soep-core,soep-core-2017-pb-m345-erst,Q578,punt24,PB17_M5,punt24,punt24
soep-core,soep-core-2017-pb-m345-erst,Q578,punt25,PB17_M5,punt25,punt25
soep-core,soep-core-2017-pb-m345-erst,Q579,punt32,PB17_M5,punt32,punt32
soep-core,soep-core-2017-pb-m345-erst,Q580,punt33,PB17_M5,punt33,punt33
soep-core,soep-core-2017-pb-m345-erst,Q580,punt34,PB17_M5,punt34,punt34
soep-core,soep-core-2017-pb-m345-erst,Q580,punt35,PB17_M5,punt35,punt35
soep-core,soep-core-2017-pb-m345-erst,Q581,punt42,PB17_M5,punt42,punt42
soep-core,soep-core-2017-pb-m345-erst,Q582,punt43,PB17_M5,punt43,punt43
soep-core,soep-core-2017-pb-m345-erst,Q582,punt44,PB17_M5,punt44,punt44
soep-core,soep-core-2017-pb-m345-erst,Q582,punt45,PB17_M5,punt45,punt45
soep-core,soep-core-2017-pb-m345-erst,Q583,punt52,PB17_M5,punt52,punt52
soep-core,soep-core-2017-pb-m345-erst,Q584,punt53,PB17_M5,punt53,punt53
soep-core,soep-core-2017-pb-m345-erst,Q584,punt54,PB17_M5,punt54,punt54
soep-core,soep-core-2017-pb-m345-erst,Q584,punt55,PB17_M5,punt55,punt55
soep-core,soep-core-2017-pb-m345-erst,Q585,pzule1,PB17_M5,pzule1,pzule1
soep-core,soep-core-2017-pb-m345-erst,Q588,reclink,PB17_M5,reclink,reclink
soep-core,soep-core-2017-pb-m345-erst,Q591,more1,PB17_M5,more1,more1
soep-core,soep-core-2017-pb-m345-erst,Q592,more2,PB17_M5,more2,more2
soep-core,soep-core-2017-pb-m345-erst,Q592,more2o,PB17_M5,more2o,more2o
soep-core,soep-core-2017-pb-m345-erst,Q594,more3,PB17_M5,more3,more3
soep-core,soep-core-2017-pb-m345-erst,Q595,more4a,PB17_M5,moresplit,moresplit
soep-core,soep-core-2017-pb-m345-erst,Q599,more7,PB17_M5,more7,more7
soep-core,soep-core-2017-pb-m345-erst,Q599,more7o,PB17_M5,more7o,more7o
soep-core,soep-core-2017-pb-m345-erst,Q600,pwdh,PB17_M5,pwdh,pwdh
soep-core,soep-core-2017-pb-m345-erst,Q602,i1,PB17_M5,I1,i1
soep-core,soep-core-2017-pb-m345-erst,Q603,i2,PB17_M5,I2,i2
soep-core,soep-core-2017-pb-m345-erst,Q604,i3,PB17_M5,I3,i3
soep-core,soep-core-2017-pb-m345-erst,Q605,i4,PB17_M5,I4,i4
soep-core,soep-core-2017-pb-m345-erst,Q606,i5,PB17_M5,I5,i5
soep-core,soep-core-2017-pb-m345-erst,Q607,i6,PB17_M5,I6,i6
soep-core,soep-core-2017-pb-m345-erst,Q608,i7,PB17_M5,I7,i7
soep-core,soep-core-2017-pb-m345-erst,Q609,i8,PB17_M5,I8,i8
soep-core,soep-core-2017-pb-m345-erst,Q610,i9,PB17_M5,I9,i9
soep-core,soep-core-2017-pb-m345-erst,Q611,i10,PB17_M5,I10,i10
soep-core,soep-core-2017-pb-m345-erst,Q612,i11,PB17_M5,I11,i11
soep-core,soep-core-2017-pb-m345-erst,Q613,i12,PB17_M5,I12,i12
soep-core,soep-core-2017-pb-m345-erst,Q614,i131,PB17_M5,I131,i131
soep-core,soep-core-2017-pb-m345-erst,Q614,i131,P17_M3M4,i131,i131
soep-core,soep-core-2017-pb-m345-erst,Q614,i132,PB17_M5,I132,i132
soep-core,soep-core-2017-pb-m345-erst,Q614,i132,P17_M3M4,i132,i132
soep-core,soep-core-2017-pb-m345-erst,Q614,i133,PB17_M5,I133,i133
soep-core,soep-core-2017-pb-m345-erst,Q614,i133,P17_M3M4,i133,i133
soep-core,soep-core-2017-pb-m345-erst,Q615,i14,PB17_M5,I14,i14
soep-core,soep-core-2017-pb-m345-erst,Q616,i15,PB17_M5,I15,i15
soep-core,soep-core-2017-pb-m345-erst,Q617,i16,PB17_M5,I16,i16
soep-core,soep-core-2017-pe,0,hnr,P17_A-L1,hnr,hnr
soep-core,soep-core-2017-pe,0,name,P17_A-L1,name,name
soep-core,soep-core-2017-pe,0,pnr,P17_A-L1,pnr,pnr
soep-core,soep-core-2017-pe,0,psex,P17_A-L1,psex,psex
soep-core,soep-core-2017-pe,1,pzuf01,P17_A-L1,pzuf01,pzuf01
soep-core,soep-core-2017-pe,1,pzuf02,P17_A-L1,pzuf02,pzuf02
soep-core,soep-core-2017-pe,1,pzuf03,P17_A-L1,pzuf03,pzuf03
soep-core,soep-core-2017-pe,1,pzuf04,P17_A-L1,pzuf04,pzuf04
soep-core,soep-core-2017-pe,1,pzuf05,P17_A-L1,pzuf05,pzuf05
soep-core,soep-core-2017-pe,1,pzuf07,P17_A-L1,pzuf07,pzuf07
soep-core,soep-core-2017-pe,1,pzuf08,P17_A-L1,pzuf08,pzuf08
soep-core,soep-core-2017-pe,1,pzuf09,P17_A-L1,pzuf09,pzuf09
soep-core,soep-core-2017-pe,1,pzuf13,P17_A-L1,pzuf13,pzuf13
soep-core,soep-core-2017-pe,1,pzuf16,P17_A-L1,pzuf16,pzuf16
soep-core,soep-core-2017-pe,1,pzuf20,P17_A-L1,pzuf20,pzuf20
soep-core,soep-core-2017-pe,1,pzuf23,P17_A-L1,pzuf23,pzuf23
soep-core,soep-core-2017-pe,10,pfz1,P17_A-L1,pfz1,pfz1
soep-core,soep-core-2017-pe,10,pfz2,P17_A-L1,pfz2,pfz2
soep-core,soep-core-2017-pe,10,pfz3,P17_A-L1,pfz3,pfz3
soep-core,soep-core-2017-pe,10,pfz4,P17_A-L1,pfz4,pfz4
soep-core,soep-core-2017-pe,10,pfz5,P17_A-L1,pfz5,pfz5
soep-core,soep-core-2017-pe,10,pfz6,P17_A-L1,pfz6,pfz6
soep-core,soep-core-2017-pe,10,pfz7,P17_A-L1,pfz7,pfz7
soep-core,soep-core-2017-pe,10,pfz8,P17_A-L1,pfz8,pfz8
soep-core,soep-core-2017-pe,10,pfz9,P17_A-L1,pfz9,pfz9
soep-core,soep-core-2017-pe,100,pson01,P17_A-L1,pson01,pson01
soep-core,soep-core-2017-pe,100,pson02,P17_A-L1,pson02,pson02
soep-core,soep-core-2017-pe,100,pson03,P17_A-L1,pson03,pson03
soep-core,soep-core-2017-pe,100,pson04,P17_A-L1,pson04,pson04
soep-core,soep-core-2017-pe,100,pson05,P17_A-L1,pson05,pson05
soep-core,soep-core-2017-pe,100,pson06,P17_A-L1,pson06,pson06
soep-core,soep-core-2017-pe,100,pson06x,P17_A-L1,pson06x,pson06x
soep-core,soep-core-2017-pe,100,pson07,P17_A-L1,pson07,pson07
soep-core,soep-core-2017-pe,101,pson08,P17_A-L1,pson08,pson08
soep-core,soep-core-2017-pe,101,pson09,P17_A-L1,pson09,pson09
soep-core,soep-core-2017-pe,101,pson10,P17_A-L1,pson10,pson10
soep-core,soep-core-2017-pe,101,pson11,P17_A-L1,pson11,pson11
soep-core,soep-core-2017-pe,101,pson12,P17_A-L1,pson12,pson12
soep-core,soep-core-2017-pe,101,pson13,P17_A-L1,pson13,pson13
soep-core,soep-core-2017-pe,101,pson13x,P17_A-L1,pson13x,pson13x
soep-core,soep-core-2017-pe,101,pson14,P17_A-L1,pson14,pson14
soep-core,soep-core-2017-pe,102,pson09a,P17_A-L1,pson09a,pson09a
soep-core,soep-core-2017-pe,103,perwvj,P17_A-L1,perwvj,perwvj
soep-core,soep-core-2017-pe,104,pvjaint,P17_A-L1,pvjaint,pvjaint
soep-core,soep-core-2017-pe,105,pvjaneu,P17_A-L1,pvjaneu,pvjaneu
soep-core,soep-core-2017-pe,106,parneu1,P17_A-L1,parneu1,parneu1
soep-core,soep-core-2017-pe,106,parneu2,P17_A-L1,parneu2,parneu2
soep-core,soep-core-2017-pe,106,parneu3,P17_A-L1,parneu3,parneu3
soep-core,soep-core-2017-pe,106,parneu4,P17_A-L1,parneu4,parneu4
soep-core,soep-core-2017-pe,106,parneu5,P17_A-L1,parneu5,parneu5
soep-core,soep-core-2017-pe,107,pnebt,P17_A-L1,pnebt,pnebt
soep-core,soep-core-2017-pe,108,pnebanz,P17_A-L1,pnebanz,pnebanz
soep-core,soep-core-2017-pe,109,pneba,P17_A-L1,pnebc,pneba
soep-core,soep-core-2017-pe,109,pneba,P17_A-L1,pnebb,pneba
soep-core,soep-core-2017-pe,109,pneba,P17_A-L1,pneba,pneba
soep-core,soep-core-2017-pe,11,p7tag,P17_A-L1,p7tag,p7tag
soep-core,soep-core-2017-pe,111,pehrta,P17_A-L1,pehrta,pehrta
soep-core,soep-core-2017-pe,111,pehrta,P17_A-L1,pehrtc,pehrta
soep-core,soep-core-2017-pe,111,pehrta,P17_A-L1,pehrtb,pehrta
soep-core,soep-core-2017-pe,112,pminia,P17_A-L1,pminic,pminia
soep-core,soep-core-2017-pe,112,pminia,P17_A-L1,pminib,pminia
soep-core,soep-core-2017-pe,112,pminia,P17_A-L1,pminia,pminia
soep-core,soep-core-2017-pe,113,pmini1a,P17_A-L1,pmini1a,pmini1a
soep-core,soep-core-2017-pe,113,pmini1a,P17_A-L1,pmini1b,pmini1a
soep-core,soep-core-2017-pe,113,pmini1a,P17_A-L1,pmini1c,pmini1a
soep-core,soep-core-2017-pe,114,pnebta,P17_A-L1,pnebtc,pnebta
soep-core,soep-core-2017-pe,114,pnebta,P17_A-L1,pnebta,pnebta
soep-core,soep-core-2017-pe,114,pnebta,P17_A-L1,pnebtb,pnebta
soep-core,soep-core-2017-pe,115,pnebsa,P17_A-L1,pnebsb,pnebsa
soep-core,soep-core-2017-pe,115,pnebsa,P17_A-L1,pnebsc,pnebsa
soep-core,soep-core-2017-pe,115,pnebsa,P17_A-L1,pnebsa,pnebsa
soep-core,soep-core-2017-pe,116,pbrnoa,P17_A-L1,pbrnoc,pbrnoa
soep-core,soep-core-2017-pe,116,pbrnoa,P17_A-L1,pbrnob,pbrnoa
soep-core,soep-core-2017-pe,116,pbrnoa,P17_A-L1,pbrnoa,pbrnoa
soep-core,soep-core-2017-pe,116,pnebbra,P17_A-L1,pnebbra,pnebbra
soep-core,soep-core-2017-pe,116,pnebbra,P17_A-L1,pnebbrc,pnebbra
soep-core,soep-core-2017-pe,116,pnebbra,P17_A-L1,pnebbrb,pnebbra
soep-core,soep-core-2017-pe,117,pek01,P17_A-L1,pek01,pek01
soep-core,soep-core-2017-pe,117,pek011,P17_A-L1,pek011,pek011
soep-core,soep-core-2017-pe,117,pek02,P17_A-L1,pek02,pek02
soep-core,soep-core-2017-pe,117,pek021,P17_A-L1,pek021,pek021
soep-core,soep-core-2017-pe,117,pek03,P17_A-L1,pek03,pek03
soep-core,soep-core-2017-pe,117,pek031,P17_A-L1,pek031,pek031
soep-core,soep-core-2017-pe,117,pek04,P17_A-L1,pek04,pek04
soep-core,soep-core-2017-pe,117,pek07,P17_A-L1,pek07,pek07
soep-core,soep-core-2017-pe,117,pek071,P17_A-L1,pek071,pek071
soep-core,soep-core-2017-pe,117,pek08,P17_A-L1,pek08,pek08
soep-core,soep-core-2017-pe,117,pek081,P17_A-L1,pek081,pek081
soep-core,soep-core-2017-pe,117,pek11,P17_A-L1,pek11,pek11
soep-core,soep-core-2017-pe,117,pek111,P17_A-L1,pek111,pek111
soep-core,soep-core-2017-pe,117,pek18,P17_A-L1,pek18,pek18
soep-core,soep-core-2017-pe,117,pek181,P17_A-L1,pek181,pek181
soep-core,soep-core-2017-pe,117,pek23,P17_A-L1,pek23,pek23
soep-core,soep-core-2017-pe,117,pek231,P17_A-L1,pek231,pek231
soep-core,soep-core-2017-pe,117,pek24,P17_A-L1,pek24,pek24
soep-core,soep-core-2017-pe,117,pek241,P17_A-L1,pek241,pek241
soep-core,soep-core-2017-pe,117,pekno,P17_A-L1,pekno,pekno
soep-core,soep-core-2017-pe,118,pvek01,P17_A-L1,pvek01,pvek01
soep-core,soep-core-2017-pe,118,pvek011,P17_A-L1,pvek011,pvek011
soep-core,soep-core-2017-pe,118,pvek012,P17_A-L1,pvek012,pvek012
soep-core,soep-core-2017-pe,118,pvek012,P17_A-L1,pvek013,pvek012
soep-core,soep-core-2017-pe,118,pvek02,P17_A-L1,pvek02,pvek02
soep-core,soep-core-2017-pe,118,pvek021,P17_A-L1,pvek021,pvek021
soep-core,soep-core-2017-pe,118,pvek022,P17_A-L1,pvek023,pvek022
soep-core,soep-core-2017-pe,118,pvek022,P17_A-L1,pvek022,pvek022
soep-core,soep-core-2017-pe,118,pvek03,P17_A-L1,pvek03,pvek03
soep-core,soep-core-2017-pe,118,pvek031,P17_A-L1,pvek031,pvek031
soep-core,soep-core-2017-pe,118,pvek032,P17_A-L1,pvek032,pvek032
soep-core,soep-core-2017-pe,118,pvek04,P17_A-L1,pvek04,pvek04
